"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_asc",1.55093506078792,0.0704853817348629,22.0036413595928,0.148745504917429,10.4267692771547
"sigma_b_asc",2.42556729290784,0.0573846460211333,42.2685763717104,0.118627734454015,20.4468820387705
"b_cost",-0.00487600010046906,0.000113224564509103,-43.0648607182502,0.000272379902147029,-17.9014679939088
"mu_b_wq_local_basin",-1.11725865382061,0.0837992945756786,-13.332554402491,0.187796828637035,-5.94929457504308
"sigma_b_wq_local_basin",0.846535778242529,0.125122529834075,6.76565426997934,0.26185382008532,3.23285632406165
"mu_b_wq_nonlocal_basin",-0.613781766677075,0.0849003035871982,-7.22944136526769,0.155283121266672,-3.95266247658052
"sigma_b_wq_nonlocal_basin",0.310184715871144,0.174754956947919,1.77496948463434,0.253967064212197,1.22135804039525
"mu_b_wq_local_sub_basin",-0.723822497357792,0.042167627263617,-17.1653598821843,0.0903802336485153,-8.00863715591515
"sigma_b_wq_local_sub_basin",0.526626014643412,0.0565025324330502,9.32039666128965,0.115309108273875,4.56708080156687
"mu_b_wq_nonlocal_sub_basin",-0.41438505891886,0.03381516368642,-12.2544152901816,0.0705842975483543,-5.87078250137692
"sigma_b_wq_nonlocal_sub_basin",-0.425858827992521,0.0500313824524981,-8.51183411525456,0.113185084330304,-3.76249954234035
"mu_b_wq_nl_local_adj",-0.209842502379097,0.0738695487982715,-2.84071726161684,0.128464524611007,-1.63346653883244
"sigma_b_wq_nl_local_adj",0.391559144328023,0.127972380154949,3.05971604071067,0.163251825781494,2.39849779598857
