"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_asc",1.67917935872951,0.0731904495376052,22.9426020654068,0.158157135819026,10.6171583724869
"sigma_b_asc",2.30572165355429,0.0521069285645451,44.2498093261854,0.107833283113466,21.3822818612331
"b_cost",-0.00462649668128433,0.000103024674269072,-44.906685841114,0.000249803484612771,-18.5205450134373
"mu_b_wq_local_basin",-0.918140115630035,0.264654081735321,-3.4692082193097,0.530648055826529,-1.73022421461613
"sigma_b_wq_local_basin",-0.129975877506533,0.562051468562557,-0.231252625029066,0.67775776184334,-0.191773351518734
"mu_b_wq_nonlocal_basin",0.0313306155302959,0.258979867473071,0.12097703128817,0.515717428698211,0.0607515158240464
"sigma_b_wq_nonlocal_basin",0.0838167278999233,0.322605629945618,0.25981173333538,0.226471196347819,0.370098843701059
"mu_b_wq_local_sub_basin",-0.254938937536422,0.257706044274074,-0.98926254622608,0.427908586703785,-0.595778971158857
"sigma_b_wq_local_sub_basin",-0.0219875222242084,0.205195309395907,-0.107154117162519,0.127450193577933,-0.172518547104156
"mu_b_wq_nonlocal_sub_basin",-0.0897237217113641,0.0980830046496485,-0.914773380279859,0.210579100484184,-0.426080848028426
"sigma_b_wq_nonlocal_sub_basin",0.112845171696574,0.253949557114877,0.444360576874433,0.477377804700492,0.236385459452546
"mu_b_basewq_local_basin",-0.0260650398169471,0.092782005640536,-0.280927747110043,0.189564688458832,-0.137499446911009
"sigma_b_basewq_local_basin",-0.158672879941681,0.0479717692820046,-3.30763034835997,0.0898832767582358,-1.76532148876228
"mu_b_basewq_local_subbasin",-0.0555977230675245,0.0748276000206041,-0.743010908437735,0.115827102883447,-0.480006161627566
"sigma_b_basewq_local_subbasin",0.00538132833339034,0.0503583430881546,0.106860710726127,0.0198442952924331,0.27117759810006
"mu_b_basewq_nonlocal_basin",-0.279672024294561,0.10008351621724,-2.79438647706491,0.199269870618736,-1.4034837450648
"sigma_b_basewq_nonlocal_basin",-0.0283827175703439,0.0949661017345296,-0.298872092798814,0.0708512341529155,-0.400595951639835
"mu_b_basewq_nonlocal_subbasin",-0.0983098477363945,0.0220989269625457,-4.44862539719754,0.0461364630647982,-2.130849250371
"sigma_b_basewq_nonlocal_subbasin",0.0729039133528428,0.0214181020311181,3.4038456464033,0.0361736905838343,2.01538499877098
"mu_b_basewq_exp_var_local_basin",0.139543517871592,0.0925377567731876,1.50796304921911,0.168949919690615,0.825946044408472
"sigma_b_basewq_exp_var_local_basin",-0.0259106906353103,0.203511337907112,-0.127318167635144,0.18940685700573,-0.136799116172053
"mu_b_basewq_exp_var_local_subbasin",-0.0933763291268278,0.0640453033803499,-1.4579730940189,0.1092894719696,-0.854394549118154
"sigma_b_basewq_exp_var_local_subbasin",0.0589870002504256,0.157368735252407,0.374833032468711,0.181902319154722,0.324278439794122
"mu_b_basewq_exp_var_nonlocal_basin",0.248405855029296,0.101341341837472,2.45117984946046,0.185287268714795,1.34065258100197
"sigma_b_basewq_exp_var_nonlocal_basin",-0.193133937785356,0.120980460500293,-1.59640603934458,0.218625648123014,-0.883400184029118
"mu_b_basewq_exp_var_nonlocal_subbasin",0.073909341716675,0.0170930739220972,4.32393506595254,0.0319674884263022,2.31201590600605
"sigma_b_basewq_exp_var_nonlocal_subbasin",-0.00603716742004419,0.0457391121874059,-0.131991355566943,0.0324486154140432,-0.186053159526536
