"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_asc",1.65817559949235,0.0737748052026019,22.4761772659194,0.159730205054207,10.3811023026586
"sigma_b_asc",2.2902895522975,0.0539045044174959,42.4879066609902,0.111613155293436,20.5198889528409
"b_cost",-0.00472953215948154,0.000106012160429318,-44.6131098576647,0.00025742296630065,-18.3726115328724
"mu_b_wq_local_basin",-0.9087686180609,0.210756654938776,-4.31193320241723,0.376433058055423,-2.41415730795647
"sigma_b_wq_local_basin",0.301366550283658,0.350243993762911,0.860447447066461,0.818116477965958,0.368366312622049
"mu_b_wq_nonlocal_basin",-0.292924642034172,0.104094326927469,-2.81403079956776,0.214915590029936,-1.36297530576247
"sigma_b_wq_nonlocal_basin",-0.109345697337201,0.193736873950499,-0.564403126299745,0.184299233266993,-0.593305221073777
"mu_b_wq_local_sub_basin",-0.65273690234734,0.215751366304728,-3.02541260121344,0.399022859754974,-1.63583836461942
"sigma_b_wq_local_sub_basin",0.00548349848075347,0.142824561886878,0.0383932455896248,0.0263274984046275,0.20828027017522
"mu_b_wq_nonlocal_sub_basin",-0.00978281075851582,0.0996762872483588,-0.0981458181135945,0.21273532510664,-0.0459858312370637
"sigma_b_wq_nonlocal_sub_basin",-0.077014027165283,0.0765889349099839,-1.00555030900741,0.0576909350879122,-1.33494156487367
"mu_b_basewq_local",0.00821686934582286,0.0691260556960188,0.118867903905243,0.120073064199779,0.0684322449883643
"sigma_b_basewq_local",0.113070860772659,0.0548904562517994,2.05993661728676,0.095165450387069,1.18815032464789
"mu_b_basewq_nonlocal",-0.137388453113533,0.0233525402022705,-5.88323376915439,0.0482289205289651,-2.84867360925114
"sigma_b_basewq_nonlocal",0.130320755623397,0.0119627370654484,10.89389116474,0.0247805618351132,5.25899115970555
"mu_b_wq_x_bl_local",-0.0181931320695207,0.0656090328837013,-0.27729614764738,0.119495650556885,-0.15224932442926
"sigma_b_wq_x_bl_local",-0.218383146699358,0.100728290326981,-2.1680418280748,0.149554290778892,-1.46022655426333
"mu_b_wq_x_bl_nonlocal",0.0795198453687535,0.0179996773427679,4.41784837886018,0.0339317461443388,2.34352352603641
"sigma_b_wq_x_bl_nonlocal",-0.00429403636675495,0.0725040421977896,-0.0592247857718182,0.0418091935361794,-0.102705553577328
