"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_asc",0.555754091731977,0.200382213477318,2.77347017026981,0.368214815792844,1.5093202877655
"sigma_b_asc",2.41288492202052,0.0561415399619003,42.9786023621367,0.114574620441058,21.0595061343607
"b_cost",-0.00495263954494253,0.00011395630436752,-43.4608648677285,0.000272709705611339,-18.1608481217788
"mu_b_wq_local_basin",-0.41710719784619,0.08791858434427,-4.7442437905152,0.186451422616767,-2.23708240995036
"sigma_b_wq_local_basin",0.391697885846589,0.159636075104048,2.4536927858649,0.374310549153375,1.04645163416458
"mu_b_wq_nonlocal_basin",-0.297210303879332,0.0747741978058438,-3.97477087819863,0.143760259820417,-2.06740238401491
"sigma_b_wq_nonlocal_basin",0.335308767502609,0.133288743839546,2.51565704532602,0.212090102968394,1.58097319398528
"mu_b_wq_local_sub_basin",-0.61829695907199,0.0500511773434286,-12.3532950050209,0.101165023289238,-6.11176609236018
"sigma_b_wq_local_sub_basin",0.523632326161607,0.0523171525579983,10.0088078299199,0.103829489907697,5.04319463215229
"mu_b_wq_nonlocal_sub_basin",-0.451903062000897,0.0432377738356073,-10.4515802251767,0.0876108377316867,-5.15807260495416
"sigma_b_wq_nonlocal_sub_basin",0.463875376304152,0.0472592712575306,9.81554230441576,0.100421777511967,4.61927071793641
"b_basesq_exp",0.363163173276506,0.0506993719744646,7.16307045103868,0.0985070751409886,3.68667095999681
"b_basesq_worse",0.280889208196179,0.0977563632401208,2.8733598395659,0.186574606208839,1.505506102378
"b_basesq_better",0.739471047452011,0.1655916087956,4.46563115625494,0.280768812831644,2.63373641820902
"b_basin_1",0.321890948121891,0.175672744979495,1.83233288783335,0.31449876355966,1.02350465381346
"b_basin_2",0.598968550657174,0.175665496635545,3.40971085460146,0.33320247460723,1.79761135136593
"b_basin_3",0.347469510557197,0.142579676532174,2.43701991060969,0.274499408145629,1.26582972584355
"b_basin_4",0.747143595475959,0.156966214875499,4.75990069626494,0.276228176235333,2.70480588062612
"b_subbasin_1",-0.30063452438902,0.134775899116456,-2.23062525540454,0.246348008387257,-1.22036515073596
"b_subbasin_2",-0.450693180498471,0.140045807776061,-3.21818401889722,0.235163249606897,-1.91651196031632
"b_subbasin_3",-0.412618669583423,0.136902163819162,-3.01396747920262,0.24660508619533,-1.67319610454667
"b_subbasin_4",-0.589378460508188,0.138329607458633,-4.26068194174874,0.255487341060759,-2.30687930784024
"b_subbasin_5",-0.559794662137272,0.162951193198988,-3.4353517218722,0.29843310823989,-1.8757793511546
"b_subbasin_6",-0.944770978318624,0.151125506967705,-6.25156531994639,0.272385295140876,-3.46850947966922
"b_subbasin_7",-0.750815157219551,0.175065968318175,-4.28875562984905,0.319853030669635,-2.34737546693763
"b_subbasin_8",-0.506390549654966,0.159798095561917,-3.16893982919062,0.303396696881596,-1.6690707409138
"b_subbasin_9",-1.11031290634415,0.162108913720378,-6.84917862233863,0.302040498747751,-3.67603983885427
"b_subbasin_10",-0.793397873176765,0.176397053406624,-4.49779550085711,0.332688149666634,-2.38480954002053
"b_subbasin_11",-0.525070062343157,0.127199398835509,-4.12792880430325,0.236460527747827,-2.22054000870335
"b_subbasin_12",-0.521530577240197,0.143275743168133,-3.64004796421252,0.248479841012588,-2.09888486371728
"b_subbasin_13",-0.428044941158583,0.142767386477447,-2.99819834011042,0.254477228526624,-1.68205596876736
"b_subbasin_14",-0.384051012587916,0.194690328558614,-1.9726250165133,0.311873008409837,-1.23143395623141
"b_subbasin_15",0.369847501646858,0.164666290743271,2.24604258696446,0.290448369042478,1.27336745896056
"b_subbasin_16",-0.0416091977940493,0.108635341260903,-0.383017140749057,0.194801667482134,-0.213597749607895
"b_subbasin_17",-0.10380966486864,0.108906070429404,-0.953203659440934,0.19229541416939,-0.539844724415508
