"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_cost",-0.00461848373685812,0.000102245269573263,-45.170634848283,0.000248115471532931,-18.6142512932538
"mu_wtp_wq_local_basin",200.762109340963,18.5778411236642,10.8065360234584,36.4906701664276,5.50173807237089
"mu_wtp_wq_nonlocal_basin",141.273009726189,11.1319621617603,12.6907554726947,22.8095740032853,6.19358387429074
"mu_wtp_wq_local_sub_basin",137.415705624081,11.6584383782176,11.7868020712642,22.6636885405255,6.06325423941319
"mu_wtp_wq_nonlocal_sub_basin",93.010324542131,6.30529713077526,14.7511406065482,14.132660644188,6.58123242918036
"mu_b_asc",1.56442900075798,0.0659496560296374,23.7215642194545,0.140552275112713,11.1305846846194
"sigma_b_asc",2.30552118735614,0.0511746322257468,45.0520323660713,0.105956403706455,21.7591491095096
"sigma_wtp_wq_local_basin",260.360053915984,50.0088650075166,5.20627800444682,91.4166861856214,2.84805832260561
"sigma_wtp_wq_nonlocal_basin",36.6779483941216,32.1359935012224,1.14133544347171,34.1483498565645,1.07407674303978
"sigma_wtp_wq_local_sub_basin",0.304242393220309,42.0418922232041,0.00723664842688476,6.05185850801892,0.0502725555822525
"sigma_wtp_wq_nonlocal_sub_basin",60.018219679054,11.3614953411891,5.28259862603374,17.8816087447008,3.35642170321171
