"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_asc",0.931185712899677,0.0337882316319915,27.5594687239568,0.0474607852111301,19.6201076058325
"b_cost",-0.00250709227932196,5.99893434168317e-05,-41.7922940396531,7.58130309061254e-05,-33.0694110149261
"b_wq_local_basin",-0.39618597478097,0.0321992458188778,-12.3042004464804,0.0390339291293616,-10.1497846519108
"b_wq_nonlocal_basin",-0.36146660747562,0.0326858225405792,-11.0588193712079,0.0367158582214676,-9.84497230856699
"b_wq_local_sub_basin",-0.280084914143664,0.0198733973369924,-14.0934591803442,0.0265428750043701,-10.5521694276731
"b_wq_nonlocal_sub_basin",-0.18004968762209,0.0171898620080071,-10.4741787652643,0.0236012601483344,-7.62881670260295
