"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_asc",0.885843573559781,0.123072280066047,7.1977505664508,0.244911827340586,3.61698976802735
"sigma_b_asc",2.39684743240324,0.0569780775583516,42.066133767827,0.118915852456568,20.1558276957116
"b_cost",-0.00495705721342651,0.000111993381722457,-44.2620549284878,0.000273919449369472,-18.0967697797182
"mu_b_wq_local_basin",-0.568896956885831,0.0865776077092483,-6.57094798456831,0.198700595176349,-2.86308632533752
"sigma_b_wq_local_basin",0.271051843513573,0.240515581694906,1.12696167792323,0.559705105220689,0.484276167905774
"mu_b_wq_nonlocal_basin",-0.857364428264676,0.0762084747224789,-11.2502504660651,0.154245721044609,-5.5584324962682
"sigma_b_wq_nonlocal_basin",0.246410967930768,0.218396110712761,1.12827544010091,0.440447266144905,0.559456232042318
"mu_b_wq_local_sub_basin",-0.26781452184175,0.0538863099819248,-4.96999185751601,0.116034658716671,-2.30805627218405
"sigma_b_wq_local_sub_basin",0.0269623538716876,0.133758432806207,0.201574983393767,0.059101480964048,0.456204369702496
"mu_b_wq_nonlocal_sub_basin",-0.440336248580213,0.0492920347448562,-8.93321306088229,0.0928908589526426,-4.74036146877169
"sigma_b_wq_nonlocal_sub_basin",-0.0241430722549621,0.103606789149055,-0.233025967248424,0.0404179554467723,-0.597335317635175
"mu_b_basesq_obs_local",0.469013361661628,0.0479039128034547,9.79071090885511,0.0988716509899806,4.74365864194133
"sigma_b_basesq_obs_local",0.238523346904313,0.0375395599054149,6.35391963851731,0.0724690354297268,3.29138294017461
"mu_b_basesq_obs_nonlocal",0.198195055582063,0.0463466932588023,4.27635806669813,0.0883706845160369,2.24276926978082
"sigma_b_basesq_obs_nonlocal",-0.327062191936417,0.0289884278066003,-11.2825088038044,0.05561856127505,-5.88045041868305
"mu_b_basesq_exp_local",-0.159507950180732,0.0545607761884451,-2.92349122068598,0.0998712769173896,-1.59713538370669
"sigma_b_basesq_exp_local",0.0361718215934148,0.127703394164882,0.28324870947997,0.0400467397724073,0.903240108907382
"mu_basesq_exp_nonlocal",-0.0173374013709954,0.0484775283634347,-0.357637898554095,0.0830882960326658,-0.208662377239981
"sigma_basesq_exp_nonlocal",0.0262420957763109,0.092592549673125,0.283414765755475,0.0303881313891799,0.863563982932322
