"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_asc",1.55414104274169,0.0701307296363032,22.1606284549076,0.147791297254919,10.5157818600172
"sigma_b_asc",2.42232810516676,0.0570109753798451,42.4888030598951,0.11768619925204,20.5829410802795
"b_cost",-0.00486427920958393,0.000112514839990873,-43.2323345967387,0.000270135193392718,-18.0068326103379
"mu_b_wq_local_basin",-1.09975499838729,0.0811976988558201,-13.5441645992959,0.178162576895756,-6.17276095546574
"sigma_b_wq_local_basin",0.834544350510992,0.119787306374854,6.96688468725919,0.240669415341315,3.46759620173362
"mu_b_wq_nonlocal_basin",-0.757811338339607,0.0635911509334695,-11.9169306926438,0.12758008004925,-5.93988762232368
"sigma_b_wq_nonlocal_basin",0.346919441736094,0.16077566160712,2.15778581327717,0.320259239878062,1.08324569142231
"mu_b_wq_local_sub_basin",-0.715096068128564,0.0417747312524765,-17.1179094799364,0.0891438463113244,-8.02182200699726
"sigma_b_wq_local_sub_basin",0.527563430508656,0.0570679954507514,9.24447102691618,0.117787210556083,4.47895342811828
"mu_b_wq_nonlocal_sub_basin",-0.417734175974952,0.0331989259740036,-12.582761752656,0.0691465116595986,-6.04129067322175
"sigma_b_wq_nonlocal_sub_basin",-0.416839188522788,0.0509420122878729,-8.18262117654938,0.117719099681459,-3.54096480223455
