"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_asc",0.81831085400131,0.118908997661926,6.88182450522267,0.239358215848128,3.41877069521827
"sigma_b_asc",2.41866987820875,0.0570102385509993,42.425184312202,0.118622041506143,20.3897171849255
"b_cost",-0.00486426833068621,0.000112032233141444,-43.418471579915,0.000268515020312082,-18.1154422014557
"mu_b_wq_local_basin",-0.995122760198507,0.0834155802615498,-11.9296989492646,0.189576962374545,-5.24917557351961
"sigma_b_wq_local_basin",0.830948414028637,0.12345897545559,6.73056301465536,0.267301739671938,3.10865322106945
"mu_b_wq_nonlocal_basin",-0.641688821417728,0.0622958685034354,-10.3006641826069,0.124046841489334,-5.17295574569629
"sigma_b_wq_nonlocal_basin",0.295134735636293,0.17564267413846,1.68031338103881,0.341384362544851,0.86452329988465
"mu_b_wq_local_sub_basin",-0.55528309099749,0.0437572264047464,-12.6900888520955,0.09534642729449,-5.82384790656523
"sigma_b_wq_local_sub_basin",0.493207056421287,0.0565986774563413,8.71410920867777,0.117702310514675,4.19029205344099
"mu_b_wq_nonlocal_sub_basin",-0.256222802647031,0.0374706196986132,-6.83796544353692,0.0808057818216864,-3.17084739322783
"sigma_b_wq_nonlocal_sub_basin",0.411824493790423,0.0491392397474657,8.3807664894055,0.11030439751999,3.73352742999924
"b_basesq_obs",0.329156144243725,0.0401748795099783,8.19308354520322,0.0822831892455217,4.00028422891544
"b_basesq_exp",-0.054982979585234,0.0184739999284319,-2.97623577991976,0.0354603757897525,-1.55054700805295
