"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_asc",2.15532918218388,0.14668852174378,14.6932367751894,0.287962521061076,7.48475591282498
"sigma_b_asc",2.06094209702424,0.0978600217225014,21.0601025909068,0.191130322766024,10.7829153804506
"b_cost",-0.00428976218461223,0.0002170936448136,-19.7599620582882,0.000460775396687954,-9.30987681948075
"mu_b_wq_local_basin",-0.428145878887692,0.105903008661924,-4.04281128834093,0.220545397774071,-1.94130497942328
"sigma_b_wq_local_basin",0.476410074267037,0.206592121531828,2.30604183128852,0.38414119679918,1.24019521529239
"mu_b_wq_nonlocal_basin",-0.254262620870012,0.0734654479661482,-3.46098237891604,0.14874245614556,-1.70941523663687
"sigma_b_wq_nonlocal_basin",-0.00956806189617742,0.351251074234223,-0.0272399505596876,0.0880781453347673,-0.108631509664641
"b_basesq_exp",0.229896668581666,0.0731471379571936,3.14293456999239,0.139417781107333,1.64897667109389
"b_basin_1",-0.546507384701298,0.143737054005674,-3.8021329189043,0.247109539114249,-2.21159970861597
"b_basin_2",-0.0851512729762264,0.15346635794537,-0.554853025224839,0.281482628095677,-0.302509869089623
"b_basin_3",-0.614942590684344,0.11481187142082,-5.35608890504359,0.213648662328952,-2.8782889814565
