"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_asc",1.43251887354507,0.0740571934896165,19.3434129224181,0.156821507939775,9.13470921409076
"sigma_b_asc",2.42160290232017,0.0570712643555581,42.4312117431535,0.117711094694436,20.5724269968466
"b_cost",-0.00486209266396137,0.000112390266698917,-43.260798348192,0.000269520501179657,-18.0397878553973
"mu_b_wq_local_basin",-1.06688218157223,0.0824689203125914,-12.9367788195638,0.182815583116817,-5.83583829880905
"sigma_b_wq_local_basin",0.813146501653773,0.12523930282502,6.49274216090035,0.264077260345985,3.07919924869114
"mu_b_wq_nonlocal_basin",-0.800093083561062,0.0646997952401657,-12.3662382638325,0.130353686288555,-6.13786311949746
"sigma_b_wq_nonlocal_basin",0.409094305187416,0.145404631462795,2.81348882131098,0.287759085890032,1.42165556274999
"mu_b_wq_local_sub_basin",-0.673933824539804,0.0422463560183997,-15.952472309003,0.0897668011718307,-7.50760655099836
"sigma_b_wq_local_sub_basin",0.516428126495617,0.0565699733052595,9.12901485225915,0.117305515319034,4.40241982732946
"mu_b_wq_nonlocal_sub_basin",-0.443793035749257,0.0338619828912469,-13.1059376284776,0.0712917234818991,-6.22502885432326
"sigma_b_wq_nonlocal_sub_basin",-0.417973069343499,0.0499777883141232,-8.36317659189782,0.112485422507063,-3.71579765651193
"b_asc_home_prov_share",0.309311237242633,0.0619206861683423,4.99528116341792,0.119875328695184,2.58027436178417
