"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_asc",1.39412140124855,0.0818296724777824,17.0368688891803,0.163307534338635,8.5367855616367
"sigma_b_asc",2.42026327121614,0.057778679146923,41.8885185149656,0.119627268671031,20.2317021704453
"b_cost",-0.00488475894790627,0.000113986677282092,-42.853770847426,0.000272155480426544,-17.9484129448743
"mu_b_wq_local_basin",-1.06207098488621,0.0796536405554251,-13.3336151051024,0.173488227920148,-6.12186197080215
"sigma_b_wq_local_basin",0.76609123620226,0.120228585517662,6.371955828173,0.240027429833195,3.19168203706822
"mu_b_wq_nonlocal_basin",-0.78222533916977,0.0659362435886402,-11.8633591572168,0.133377759647752,-5.86473592925548
"sigma_b_wq_nonlocal_basin",0.410406240010235,0.144340742531553,2.8433152886166,0.285905268824936,1.43546231833011
"mu_b_wq_local_sub_basin",-0.721326166061008,0.042408924491319,-17.0088295025888,0.0908144848588486,-7.94285368883777
"sigma_b_wq_local_sub_basin",0.52900642019131,0.054964530512666,9.62450539024265,0.108858534933509,4.8595768858586
"mu_b_wq_nonlocal_sub_basin",-0.424109709981789,0.0338342948506156,-12.5349061316132,0.071064975398825,-5.96791468091891
"sigma_b_wq_nonlocal_sub_basin",0.416513014403572,0.0503520741235399,8.2720130531594,0.115233897416848,3.61450080002825
"b_basesq_worse",0.317838710292306,0.0984034069460759,3.22995636184099,0.182144309301055,1.7449829287116
"b_basesq_better",0.632353270715556,0.179062599753791,3.5314648150146,0.33157765477581,1.90710460010675
