"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q","N"
"1","Local Basin",251,43,166,336,"Filter 5",3323
"2","Non-Local Basin",167,29,110,224,"Filter 5",3323
"3","Local Sub Basin",155,19,117,193,"Filter 5",3323
"4","Non-Local  Sub Basin",95,15,66,124,"Filter 5",3323
