"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","version"
"1","Local Basin",130,28,74,185,"v1"
"2","Non-Local Basin",91,22,48,133,"v1"
"3","Local Sub Basin",108,20,69,146,"v1"
"4","Non-Local  Sub Basin",73,13,47,99,"v1"
