"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q","N"
"1","Local Basin",250,42,168,333,"Filter 1",3581
"2","Non-Local Basin",168,31,108,228,"Filter 1",3581
"3","Local Sub Basin",157,19,119,195,"Filter 1",3581
"4","Non-Local  Sub Basin",94,15,64,124,"Filter 1",3581
