"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q"
"1","Local Basin",505,20,466,544,"Filter 1"
"2","Non-Local Basin",461,16,431,492,"Filter 1"
"3","Local Sub Basin",440,16,408,471,"Filter 1"
"4","Non-Local  Sub Basin",407,13,382,432,"Filter 1"
