"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q"
"1","Local Basin",525,24,478,572,"Filter 4"
"2","Non-Local Basin",479,20,440,518,"Filter 4"
"3","Local Sub Basin",467,21,426,507,"Filter 4"
"4","Non-Local  Sub Basin",425,17,392,458,"Filter 4"
