"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q"
"1","Local Basin",522,50,424,619,"Uncertain Votes"
"2","Non-Local Basin",453,35,384,522,"Uncertain Votes"
"3","Local Sub Basin",408,33,344,472,"Uncertain Votes"
"4","Non-Local  Sub Basin",386,28,332,440,"Uncertain Votes"
