"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","version"
"1","Local Basin",157,24,110,203,"v3"
"2","Non-Local Basin",122,16,91,154,"v3"
"3","Local Sub Basin",119,17,86,151,"v3"
"4","Non-Local  Sub Basin",80,11,60,101,"v3"
