"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","version"
"1","Local Basin",460,NA,NA,NA,"v4"
"2","Non-Local Basin",381,NA,NA,NA,"v4"
"3","Local Sub Basin",8913,NA,NA,NA,"v4"
"4","Non-Local  Sub Basin",474,NA,NA,NA,"v4"
