"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q","N"
"1","Local Basin",227,38,153,301,"full sample",3825
"2","Non-Local Basin",155,26,104,207,"full sample",3825
"3","Local Sub Basin",147,18,111,183,"full sample",3825
"4","Non-Local  Sub Basin",86,15,58,115,"full sample",3825
