"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q"
"1","Local Basin",518,20,480,556,"full sample"
"2","Non-Local Basin",482,17,449,515,"full sample"
"3","Local Sub Basin",464,18,430,498,"full sample"
"4","Non-Local  Sub Basin",427,15,399,455,"full sample"
