"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q"
"1","Local Basin",212,28,156,268,"Yes to all"
"2","Non-Local Basin",174,20,135,212,"Yes to all"
"3","Local Sub Basin",153,21,111,195,"Yes to all"
"4","Non-Local  Sub Basin",127,16,95,159,"Yes to all"
