"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q"
"1","Local Basin",523,24,476,571,"Filter 3"
"2","Non-Local Basin",476,20,437,514,"Filter 3"
"3","Local Sub Basin",463,21,423,503,"Filter 3"
"4","Non-Local  Sub Basin",422,17,389,455,"Filter 3"
