"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q","N"
"1","Local Basin",228,37,156,300,"Filter 3",3779
"2","Non-Local Basin",157,26,105,208,"Filter 3",3779
"3","Local Sub Basin",146,18,110,182,"Filter 3",3779
"4","Non-Local  Sub Basin",87,15,59,116,"Filter 3",3779
