"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q"
"1","Local Basin",512,51,412,612,"Q12"
"2","Non-Local Basin",440,36,369,510,"Q12"
"3","Local Sub Basin",388,35,319,458,"Q12"
"4","Non-Local  Sub Basin",379,30,319,438,"Q12"
