"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q"
"1","Local Basin",968,172,631,1306,"Q15"
"2","Non-Local Basin",707,105,502,912,"Q15"
"3","Local Sub Basin",678,100,482,873,"Q15"
"4","Non-Local  Sub Basin",662,91,483,841,"Q15"
