"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q","N"
"1","Local Basin",225,37,152,298,"Filter 2",3592
"2","Non-Local Basin",153,27,100,207,"Filter 2",3592
"3","Local Sub Basin",145,18,109,180,"Filter 2",3592
"4","Non-Local  Sub Basin",85,14,57,113,"Filter 2",3592
