"","WQ change scenario","Estimate","SE","2.5 %","97.5 %","Validity_Q","N"
"1","Local Basin",230,38,156,305,"Filter 4",3775
"2","Non-Local Basin",161,27,109,214,"Filter 4",3775
"3","Local Sub Basin",150,19,113,187,"Filter 4",3775
"4","Non-Local  Sub Basin",88,15,59,116,"Filter 4",3775
